netflix_url,casts,image_url,id,mood_tag,name,index,synopsis,genres,creators
https://www.netflix.com/title/80141259,"Juan Pablo Urrego, Amparo Grisales, Nicole Santamaría",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABQULYsY4KJpwvDc50kSJip3d4q6I0rMDG32vLWE7y5MJrNcBqqGiLMKkv0GMzyAnirptbqBnMI7nSMZZR8F_Dolh-eECpmKI-yVnZXwF6Vjrh5k1Aipbnw-0-QzK.jpg?r=8b8,80141259,"Violent, Gritty, Exciting",Surviving Escobar - Alias JJ,78,"As the Medellín Cartel crumbles, Pablo Escobar's No. 1 hit man struggles to stay alive and gain respect in the prison hierarchy.","Colombian, Crime TV Shows, TV Shows Based on Books, TV Thrillers, TV Dramas",
https://www.netflix.com/title/80200942,"Itzan Escamilla, Miguel Bernardeau, Danna Paola",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABbKW0w4IPxnwqLGTi6LoHWtI8HeDWKTSppkMw5vzBO-viQ0CVDrs_crLZdWtTIS482fWl697TBAymasuPG8q1yJ3OgmNpLAPr93IbDgYS5rtVmYgZWZzgK-wrqHp.jpg?r=c93,80200942,Suspenseful,Elite,79,"When three working-class teens enroll in an exclusive private school in Spain, the clash between them and the wealthy students leads to murder.","TV Mysteries, Crime TV Shows, Spanish, Teen TV Shows, TV Thrillers, TV Dramas, LGBTQ TV Shows","Carlos Montero, Darío Madrona"
https://www.netflix.com/title/80114855,"Jonathan Groff, Holt McCallany, Anna Torv",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABVMlDyWXIbGG1SszUpKTOteN44KkFS7kVn5yPT3CzkIcUY5YatyuyguLaXzqCZBPQso7peJ-NbKhKSqwD8UojIKPcIqqrv2fYB88Do4X57frMq3VQagfK7gCXy9I.jpg?r=2f1,80114855,"Chilling, Scary",MINDHUNTER,80,In the late 1970s two FBI agents expand criminal science by delving into the psychology of murder and getting uneasily close to all-too-real monsters.,"TV Mysteries, Crime TV Shows, TV Shows Based on Books, TV Thrillers, TV Dramas",Joe Penhall
https://www.netflix.com/title/80036140,"Amparo Grisales, Fernando Solórzano, Angélica Blandón",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABf0p7lqcIItpOoqYw9YXAtgBCK3BcpEpGuMkEfHYM574MnmZ2kbzAE3xHjW6t1Qj2WWMJxiib7dzLEOAvhROIvogwihH6SKiNK-wwaIIiIW9-MF6PplX8_Y1IA8y.jpg?r=e0d,80036140,Gritty,The Mafia Dolls,81,This dramatic telenovela follows the tumultuous lives of the women who fall in -- and out of -- love with Colombia's biggest drug traffickers.,"Colombian, Crime TV Shows, TV Shows Based on Books, TV Dramas",
https://www.netflix.com/title/80994082,"Omar Sy, Ludivine Sagnier, Clotilde Hesme",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABZ70u98zBG2sig8LUV65sIwjc0Sc7IatQKVHIfwMjK2JLlk4zAs0FZvF-N0oQ8zEaOOxTurPlSg-wmvPgssCCZyGwJSu6ovyJvXoh5sqdusIwoCf04q8eReTPgO1.jpg?r=c53,80994082,"Witty, Exciting",Lupin,82,"Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family.","TV Mysteries, Crime TV Shows, French, TV Shows Based on Books, TV Thrillers, TV Dramas",George Kay
https://www.netflix.com/title/80059465,"Najwa Nimri, Maggie Civantos, Itziar Castro",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABUZYG-6eqDXXpkoDT78r853k4jqU_l6-eTwi3l5BZrvC1STvMfoCNfYY2ad7yD7Jsy-u6Ehq0roraQSJZf_-K2-sQtZ3-j8RYOXDXrqnrFRkHWlw3Q93_ka0qdiY.jpg?r=0c0,80059465,,Locked Up,83,"Manipulated into embezzling funds for her boyfriend and sentenced to prison, a naïve young woman must quickly learn to survive in a harsh new world.","Crime TV Shows, Spanish, TV Thrillers, LGBTQ TV Shows","Daniel Écija, Esther Martínez Lobato, Álex Pina, Iván Escobar"
https://www.netflix.com/title/80199682,"Kurt Russell, Darby Camp, Judah Lewis",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABXLpaifWM8J0RGASbrWfGGgR34cl55JenTSdXaaWQRUSjA2bG8jBFOyjrS9-ciFGSDV9V_vMR0wR29AJysyB-Fj4umlPSjT8maAx5xRFqMepIgnNsp3vWGXIPzjp.jpg?r=98e,80199682,"Heartfelt, Feel-Good, Exciting",The Christmas Chronicles,84,"After accidentally crashing Santa's sleigh, a brother and sister pull an all-nighter to save Christmas with a savvy, straight-talking St. Nick.","Family Movies, Children & Family Movies, Comedies",
https://www.netflix.com/title/80988988,"Kurt Russell, Goldie Hawn, Darby Camp",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABb8-6elDEwXLd7qHUXAWG4dWeP-oKlVmd2jcvKODFn9YHm_b2Aza9IAIFUYuuVz4W4WpVbTBbJBy_nt_e5-pex4ptIcGDjiK3vWDXXVuYxxmZberkV95NSkBAvFq.jpg?r=33f,80988988,"Feel-Good, Exciting",The Christmas Chronicles: Part Two,85,"Unhappy over her mom’s new relationship, a now-teenage Kate runs away and lands at the North Pole, where a naughty elf is plotting to cancel Christmas.","Family Movies, Children & Family Movies, Comedies",
https://www.netflix.com/title/81399614,"Danny McBride, Abbi Jacobson, Maya Rudolph",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABQbeBuUJglU840dxIk94E_9c-DJtZ-rgWzecG6sL5Hd463qoE5yEXqSq-mcY6UK9hXNskmrkNL062hq6KjN0H7YBwGFh8VCSRe0dPyG9WAPxzDnaFjKiGW1vJ5sd.jpg?r=c5e,81399614,Quirky,The Mitchells vs. The Machines,86,A robot apocalypse put the brakes on their cross-country road trip. Now it’s up to the Mitchells — the world’s weirdest family — to save the human race.,"Family Movies, Children & Family Movies, Comedies",
https://www.netflix.com/title/81185548,"Matthias Schweighöfer, Nathalie Emmanuel, Ruby O. Fee",https://occ-0-102-1723.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABd9bGAiDgElfVCbkaGL6SbmVxLWQBFqqh7nD-_abvcpfghyMewcFXrW4k9j4zZ8x5o99UkGxicEjDOrD4KbuxmN5T4BUBPIP9gizhlJLQLvlCf8WMr2Wq9kPIc9F.jpg?r=c75,81185548,"Exciting, Suspenseful",Army of Thieves,87,"In this prequel to ""Army of the Dead,"" a mysterious woman recruits bank teller Dieter to help her crew crack three legendary safes across Europe.","German, Comedies, Thriller Movies",
